country,state,style,name,brewery
United States,New Hampshire,American Brown Ale,Smuttynose Durty Mud Season Hoppy Brown Ale,Smuttynose Brewing Company
United States,Utah,American Barleywine,Anniversary Barley Wine Ale,Uinta Brewing Company
United States,Oregon,American Amber / Red Ale,Green Lakes Organic Ale,Deschutes Brewery
United States,North Carolina,English Brown Ale,Bad Penny Brown Ale,Big Boss Brewing
United States,Minnesota,American Black Ale,Cold Press Black Ale,Bent Paddle Brewing Co.
United States,Delaware,American Pale Ale (APA),Dominion Hop Mountain Pale Ale,Old Dominion Brewing Company
United States,New Hampshire,American Double / Imperial Stout,Redhook Double Black Stout,Redhook Ale Brewery
United States,California,American Barleywine,Stone Old Guardian Barley Wine Style Ale 2011,Stone Brewing
United States,Colorado,American Amber / Red Ale,Blue Moon Rising Moon Spring Ale,Coors Brewing Company
United States,Kentucky,English Pale Ale,Kentucky Ale,Alltech's Lexington Brewing and Distilling Co.
United States,Vermont,American Pale Ale (APA),Amarillo Pale Ale,Hill Farmstead Brewery
United States,Florida,English Brown Ale,Oatmeal Raisin Cookie Brown Ale,Cigar City Brewing
United States,Maine,American Pale Ale (APA),Maine Island Trail Ale,Rising Tide Brewing Company
United States,California,Saison / Farmhouse Ale,Anchor Saison Spring Ale,Anchor Brewing Company
United States,California,Belgian Strong Pale Ale,Trader Joe's Providential Golden Ale,Trader Joe's Brewing Company
United States,Colorado,American Strong Ale,Chainsaw Ale,Left Hand Brewing Company
United States,Oregon,American Blonde Ale,Rogue Farms Single Malt Ale,Rogue Ales
United States,Maryland,Saison / Farmhouse Ale,A Saison Darkly (Import Series Vol. 2),Stillwater Artisanal Ales
United States,California,American Pale Ale (APA),Dogtown Pale Ale,Lagunitas Brewing Company
United States,Maryland,American Blonde Ale,Heavy Seas - Gold Ale,Heavy Seas Beer
United States,New Hampshire,Czech Pilsener,Redhook Pilsner,Redhook Ale Brewery
United States,North Carolina,American Pale Ale (APA),Southern Pale Ale,Natty Greene's Pub & Brewing Co.
United States,Texas,German Pilsener,Hans' Pils,Real Ale Brewing Company
United States,Ohio,Herbed / Spiced Beer,Holly Jolly Christmas Ale,Fat Head's Brewery & Saloon
United States,Oregon,American IPA,Abominable Winter Ale,Hopworks Urban Brewery
United States,Pennsylvania,American Pale Ale (APA),Amish Four Grain Pale Ale,Lancaster Brewing Company
United States,Utah,American Blonde Ale,Sum'r Summer Ale,Uinta Brewing Company
United States,Ohio,Cream Ale,Little Kings Cream Ale,Hudepohl-Schoenling Brewing Co.
United States,Utah,Belgian Pale Ale,Monkshine Belgian Style Blonde Ale,Uinta Brewing Company
United States,Oregon,Fruit / Vegetable Beer,Buckwheat Ale,Rogue Ales
United States,Utah,Belgian Strong Pale Ale,Brainless On Cherries Belgian-Style Ale (Batch 5+),Epic Brewing Company
United States,Maine,English Pale Ale,Shipyard Chamberlain Pale Ale,Shipyard Brewing Co.
United States,Massachusetts,Russian Imperial Stout,Barbapapa,Pretty Things Beer & Ale Project
United States,Colorado,American Amber / Red Ale,Fat Tire And Friends Fat Hoppy Ale,New Belgium Brewing
United States,California,American Barleywine,Stone Old Guardian Barley Wine Style Ale 2010,Stone Brewing
United States,Pennsylvania,American Pale Ale (APA),J.A.W.N. Juicy Ale With Nugget,Neshaminy Creek Brewing Company
United States,Oregon,Winter Warmer,Mogul Madness Ale,Rogue Ales
United States,Wisconsin,Pumpkin Ale,Headless Heron Barrel Aged Pumpkin Spice Ale,Central Waters Brewing Co.
United States,Oregon,American Malt Liquor,Dad's Little Helper Malt Liquor,Rogue Ales
United States,Maryland,English Pale Ale,Heavy Seas - Powder Monkey Pale Ale,Heavy Seas Beer
United States,Michigan,Extra Special / Strong Bitter (ESB),Short's Autumn Ale,Short's Brewing Company
United States,Colorado,Belgian Strong Dark Ale,Lips Of Faith - Grand Cru Abbey Ale,New Belgium Brewing
United States,California,American IPA,Alimony Ale,Buffalo Bill's Brewery
United States,North Carolina,American Brown Ale,Sweet Josie Brown Ale,Lonerider Brewing Company
United States,California,American Barleywine,Stone Old Guardian Barley Wine Style Ale 2009,Stone Brewing
United States,Wisconsin,Belgian Pale Ale,R&D Golden Ale,New Glarus Brewing Company
United States,New Hampshire,American Amber / Red Ale,Redhook Copperhook,Redhook Ale Brewery
United States,California,American Strong Ale,Firestone 19 - Anniversary Ale,Firestone Walker Brewing Co.
United States,California,American Amber / Red Ale,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),Sierra Nevada Brewing Co.
United States,Massachusetts,American Amber / Red Ale,Samuel Adams Mighty Oak Ale,Boston Beer Company (Samuel Adams)
United States,Kentucky,Pumpkin Ale,Kentucky Pumpkin Barrel Ale,Alltech's Lexington Brewing and Distilling Co.
United States,Maryland,Bière de Garde,Stillwater / Brewer's Art Debutante,Stillwater Artisanal Ales
United States,Texas,American Amber / Red Ale,Saint Arnold Amber Ale,Saint Arnold Brewing Company
United States,Oregon,Altbier,Okto Festival Ale,Widmer Brothers Brewing Company
United States,Oklahoma,Saison / Farmhouse Ale,Prairie Funky Galaxy,Prairie Artisan Ales
United States,Virginia,Milk / Sweet Stout,Coffeehouse Stout,AleWerks Brewing Company
United States,Missouri,American Wild Ale,Tell-Tale Tart,Boulevard Brewing Co.
United States,Michigan,American IPA,Oak Aged Mad Hatter India Pale Ale,New Holland Brewing Company
United States,Michigan,American Stout,Mayan Mocha Stout,Odd Side Ales
United States,New Hampshire,Pumpkin Ale,Redhook Out Of Your Gourd Pumpkin Porter,Redhook Ale Brewery
United States,California,American Amber / Red Ale,Jamaica Red Ale,Mad River Brewing Company
United States,Michigan,Saison / Farmhouse Ale,Farm Hand French Style Farmhouse Ale,Brewery Vivant
United States,California,English Brown Ale,Black Toad Dark Ale,Black Toad Brewing Co.
United States,Maryland,Belgian IPA,Why Can't IBU,Stillwater Artisanal Ales
United States,Oklahoma,American Wild Ale,Prairie Gold,Prairie Artisan Ales
United States,California,American Double / Imperial Stout,AleSmith Speedway Stout - Hammerhead,AleSmith Brewing Company
United States,Louisiana,American Double / Imperial IPA,Mecha,New Orleans Lager & Ale Brewing Company (NOLA)
United States,Colorado,American Pale Ale (APA),Hoopla Pale Ale,Boulder Beer / Wilderness Pub
United States,Wisconsin,American IPA,Hop Rise Session Ale,Central Waters Brewing Co.
United States,California,American Strong Ale,Bottleworks 13th Anniversary Ale,Stone Brewing
United States,Illinois,American Brown Ale,Festivity Ale,Goose Island Beer Co.
United States,California,American Barleywine,Stone Old Guardian Barley Wine Style Ale 2008,Stone Brewing
United States,Colorado,American IPA,Lips Of Faith - Fresh Hop India Pale Ale,New Belgium Brewing
United States,Oregon,Smoked Beer,Smoke Ale,Rogue Ales
United States,Oregon,Kölsch,Rogue Farms Honey Kolsch,Rogue Ales
United States,Missouri,Belgian Pale Ale,Hommel Bier,Perennial Artisan Ales
United States,Michigan,American Wild Ale,Sobrehumano Palena'ole,Jolly Pumpkin Artisan Ales
United States,New Jersey,English India Pale Ale (IPA),Hopnotic India Pale Ale,Cricket Hill Brewing Co.
United States,New York,American Barleywine,Oak-Aged Backburner (Imperial Barley Wine Style Ale),Southern Tier Brewing Company
United States,Colorado,American Amber / Red Ale,Pinstripe Red Ale,Ska Brewing Co.
United States,California,Belgian Strong Dark Ale,Trader Joe's 2012 Vintage Ale,Trader Joe's Brewing Company
United States,California,Irish Red Ale,McSorley's Irish Pale Ale,Pabst Brewing Company
United States,Colorado,Pumpkin Ale,Small Patch Pumpkin Harvest Ale,Tommyknocker Brewery
United States,Rhode Island,American Pale Ale (APA),Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island
United States,Massachusetts,Winter Warmer,Cabin Fever Ale,Berkshire Brewing Company Inc.
United States,New York,American Brown Ale,Saranac Brown Ale,Matt Brewing Company / Saranac Brewery
United States,Florida,English Brown Ale,Maduro Oatmeal Brown Ale - Vanilla,Cigar City Brewing
United States,California,American Wild Ale,Sourdough Wild Ale,Almanac Beer Co.
United States,Texas,American Pale Ale (APA),4² (Four Squared),Real Ale Brewing Company
United States,Colorado,Fruit / Vegetable Beer,Blue Moon Blackberry Tart Ale,Coors Brewing Company
United States,California,Belgian Strong Pale Ale,Stone 04.04.04 Vertical Epic Ale,Stone Brewing
United States,Michigan,American Double / Imperial Stout,Morningwood,Odd Side Ales
United States,California,Winter Warmer,Special Holiday Ale,Stone Brewing
United States,Rhode Island,American Amber / Red Ale,Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co.
United States,California,American Wild Ale,Cask 200,Sante Adairius Rustic Ales
United States,Massachusetts,American Blonde Ale,Sparkling Ale,Boston Beer Company (Samuel Adams)
United States,Missouri,Milk / Sweet Stout,Fantastic Voyage,Perennial Artisan Ales
United States,Maine,Extra Special / Strong Bitter (ESB),Gritty McDuff's Halloween Ale,Gritty McDuff's Brewing Company
United States,Nebraska,American Pale Ale (APA),Cardinal Pale Ale,Nebraska Brewing Company
United States,Colorado,Saison / Farmhouse Ale,Avery Anniversary Ale - Eighteen (Dry Hopped Rye Saison),Avery Brewing Company
United States,Montana,American Blonde Ale,Summer Honey Ale,Big Sky Brewing Company
United States,New Hampshire,American Blonde Ale,Redhook Blonde,Redhook Ale Brewery
United States,Texas,American Pale Ale (APA),Weekend Warrior Pale Ale,Karbach Brewing Co.
United States,California,American IPA,Hop Odyssey: Mosaic Session India Pale Ale,Green Flash Brewing Co.
United States,Massachusetts,American Double / Imperial IPA,Scaled Way Up,Trillium Brewing Company
United States,California,Belgian Strong Dark Ale,Trader Joe's 2011 Vintage Ale,Trader Joe's Brewing Company
United States,New York,Belgian Strong Pale Ale,Abigale,Sixpoint Brewery
United States,Florida,American IPA,I-10 IPA,Intuition Ale Works
United States,Colorado,American Brown Ale,Blue Moon First Peach Ale,Coors Brewing Company
United States,Texas,English Brown Ale,Saint Arnold Brown Ale,Saint Arnold Brewing Company
United States,Maine,Fruit / Vegetable Beer,Sea Dog Raspberry Wheat Ale,Sea Dog Brewing Company
United States,New Hampshire,English Porter,Redhook Blackhook Porter,Redhook Ale Brewery
United States,Wisconsin,Scotch Ale / Wee Heavy,Sheep Shagger Scotch Ale,Tyranena Brewing Company
United States,Colorado,Dubbel,Lips Of Faith - Wild2 Dubbel (Ale Brewed With Schisandra),New Belgium Brewing
United States,California,Belgian Strong Dark Ale,Stone 05.05.05 Vertical Epic Ale,Stone Brewing
United States,California,Hefeweizen,Pyramid Hefeweizen,Walnut Creek Alehouse (Pyramid)
United States,Oregon,Flanders Red Ale,Cerasus,Logsdon Farmhouse Ales
United States,Maryland,Saison / Farmhouse Ale,Stillwater / Mikkeller Two Gypsies: Our Side,Stillwater Artisanal Ales
United States,Colorado,American Pale Ale (APA),Jackman's American Pale Ale,Left Hand Brewing Company
United States,Wisconsin,American IPA,Ballistic IPA,Ale Asylum
United States,Kentucky,American Pale Ale (APA),American Pale Ale,Bluegrass Brewing Co. - East St. Matthew's
United States,California,American Double / Imperial IPA,Ass Kisser Double IPA,Ass Kisser Ales
United States,Oregon,American Amber / Red Ale,XS Imperial Red,Rogue Ales
United States,California,American Barleywine,Stone Old Guardian Barley Wine Style Ale 2007,Stone Brewing
United States,Indiana,American Wild Ale,Dantalion Dark Wild Ale,Upland Brewing Company
United States,Michigan,American Black Ale,Widow Maker Black Ale,Keweenaw Brewing Company
United States,New York,Belgian Pale Ale,Saranac Belgian Ale,Matt Brewing Company / Saranac Brewery
United States,New York,Pumpkin Ale,Pumpkin Ale,Captain Lawrence Brewing Co.
United States,California,Winter Warmer,Our Special Ale 2006 (Anchor Christmas Ale),Anchor Brewing Company
United States,Utah,Belgian Strong Dark Ale,Smoked & Oaked Belgian-Style Ale,Epic Brewing Company
United States,Louisiana,American Stout,Irish Channel Stout,New Orleans Lager & Ale Brewing Company (NOLA)
United States,California,Kölsch,Pale Ale The Original (DUPLICATE),Ballast Point Brewing Company
United States,California,Belgian Strong Dark Ale,Stone 03.03.03 Vertical Epic Ale,Stone Brewing
United States,Rhode Island,American IPA,Backyahd India Pale Ale,Foolproof Brewing Company
United States,New York,Irish Red Ale,Saranac Irish Red Ale,Matt Brewing Company / Saranac Brewery
United States,California,American Stout,Black Phoenix (Chipotle Coffee Ale),Bootlegger's Brewery
United States,Colorado,American Wild Ale,Fat Tire And Friends Fat Funk Ale,New Belgium Brewing
United States,Pennsylvania,Scottish Ale,Jolly Scot Scottish Ale,Appalachian Brewing Company
United States,Massachusetts,American Strong Ale,Raspberry Strong Ale,Berkshire Brewing Company Inc.
United States,New York,American Pale Wheat Ale,Saranac Summer Ale,Matt Brewing Company / Saranac Brewery
United States,Maine,American Amber / Red Ale,Lobster Ale,Belfast Bay Brewing Co.
United States,New York,American IPA,Lake Placid India Pale Ale,Lake Placid Craft Brewing Company
United States,California,American Strong Ale,Firestone 12 - Anniversary Ale,Firestone Walker Brewing Co.
United States,California,American Double / Imperial IPA,Tongue Tickles,Noble Ale Works
United States,Vermont,American Wild Ale,Sour Golden Ale,Backacre Beermakers
United States,Virginia,American Porter,Washington's Porter,AleWerks Brewing Company
United States,Colorado,American Pale Ale (APA),Mountain Livin' Pale Ale,Crazy Mountain Brewing Company
United States,California,American Blonde Ale,Ballantine XXX Ale,Pabst Brewing Company
United States,Minnesota,Kölsch,Summit Summer Ale,Summit Brewing Company
United States,Missouri,English Pale Ale,Michelob Pale Ale,Anheuser-Busch
United States,Pennsylvania,American Brown Ale,Wynona's Big Brown Ale,Voodoo Brewing Company
United States,Michigan,American Stout,Bourbon Barrel Mayan Mocha Stout,Odd Side Ales
United States,Washington,American Amber / Red Ale,The Men's Room Ale,Elysian Brewing Company
United States,Texas,Extra Special / Strong Bitter (ESB),Phoenixx Double ESB,Real Ale Brewing Company
United States,New Hampshire,American Amber / Red Ale,Redhook Late Harvest Autumn Ale,Redhook Ale Brewery
United States,Massachusetts,German Pilsener,American Darling,Pretty Things Beer & Ale Project
United States,Ohio,English Pale Ale,Christian Moerlein Over-The-Rhine Ale,Christian Moerlein Brewing Company
United States,Colorado,American Pale Ale (APA),Singletrack Copper Ale,Boulder Beer / Wilderness Pub
United States,Colorado,Saison / Farmhouse Ale,Long Table Farmhouse Ale,New Belgium Brewing
United States,Pennsylvania,Smoked Beer,Otto Ale,Victory Brewing Company - Downingtown
United States,Oklahoma,American Pale Ale (APA),Prairie Tulsa Rugby Ale,Prairie Artisan Ales
United States,Oklahoma,American Double / Imperial Stout,OK-Sí,Prairie Artisan Ales
United States,California,American IPA,India Pale Ale,Moylan's Brewery
United States,Washington,American Pale Ale (APA),Summer Ale,Fremont Brewing Company
United States,Arizona,American Pale Ale (APA),Devil's Ale,SanTan Brewing Co.
United States,Colorado,English Brown Ale,Brown Ale,Upslope Brewing Company - Lee Hill
United States,Oregon,American Porter,Double Mocha Porter,Rogue Ales
United States,Connecticut,Scotch Ale / Wee Heavy,Wet Willy Scotch Ale,New England Brewing Co.
United States,Minnesota,American Barleywine,Eight Ale,Surly Brewing Company
United States,Connecticut,American Pale Ale (APA),Galaxy Pale Ale,New England Brewing Co.
United States,Massachusetts,American Barleywine,Holidale,Berkshire Brewing Company Inc.
United States,Colorado,American Brown Ale,Blue Moon Mountain Abbey Ale,Coors Brewing Company
United States,Wisconsin,American Double / Imperial IPA,IPA2 (Double India Pale Ale),Sprecher Brewing Company
United States,Maine,American Pale Wheat Ale,Peak Organic Summer Session Ale,Peak Organic Brewing Company
United States,California,Cream Ale,Cali Creamin' Vanilla Cream Ale,Mother Earth Brew Co.
United States,New Hampshire,Witbier,Redhook Wise Cracker Wit,Redhook Ale Brewery
United States,North Carolina,Scotch Ale / Wee Heavy,Wee Heavy-er Scotch Style Ale,French Broad Brewing Co.
United States,California,American Pale Ale (APA),Mission St. Pale Ale,Steinhaus Brewing Co.
United States,Louisiana,American Pale Ale (APA),LA-31 Bière Pâle,Bayou Teche Brewery
United States,South Carolina,American Pale Ale (APA),Palmetto Pale Ale,Palmetto Brewing Company
United States,Missouri,Berliner Weissbier,Hopfentea,Perennial Artisan Ales
United States,California,Herbed / Spiced Beer,Bison Organic Gingerbread Ale,Bison Brewing
United States,Colorado,Schwarzbier,Avery Anniversary Ale - Seventeen (Dry Hopped Black Lager),Avery Brewing Company
United States,Massachusetts,American IPA,Wachusett IPA (India Pale Ale),Wachusett Brewing Company
United States,Colorado,Old Ale,Barrel Aged Hibernation Ale,Great Divide Brewing Company
United States,Massachusetts,American Pale Ale (APA),Crystal Pale Ale,Boston Beer Company (Samuel Adams)
United States,New Hampshire,American Pale Ale (APA),Redhook Gamechanger Ale,Redhook Ale Brewery
United States,Georgia,Scottish Ale,Drafty Kilt Scotch Ale,Monday Night Brewing
United States,Wisconsin,American Double / Imperial IPA,Satisfaction Jacksin,Ale Asylum
United States,New Hampshire,Rye Beer,Redhook Sunrye Ale,Redhook Ale Brewery
United States,Oklahoma,Saison / Farmhouse Ale,3rd Anniversary Ale,Prairie Artisan Ales
United States,California,American Porter,Payback Porter,Speakeasy Ales & Lagers
United States,Michigan,Old Ale,Arcadia Big Dick's Olde Ale,Arcadia Brewing Company
United States,Florida,Herbed / Spiced Beer,Sugar Plum Brown Ale,Cigar City Brewing
United States,Ohio,American Pale Ale (APA),Hop Bomber Pale Ale,Rivertown Brewing Co.
United States,Pennsylvania,American IPA,Harvest Ale,Weyerbacher Brewing Co.
United States,Washington,American IPA,Fish Tale India Pale Ale,Fish Brewing Company / Fishbowl Brewpub
United States,Pennsylvania,Pumpkin Ale,Braaaiins! (Pumpkin Ale For Zombies),Spring House Brewing Company
United States,Michigan,American Pale Ale (APA),Rain In Blood Orange Pale Ale,Dark Horse Brewing Company
United States,California,Winter Warmer,Our Special Ale 2005 (Anchor Christmas Ale),Anchor Brewing Company
United States,California,Belgian Strong Dark Ale,Stone 06.06.06 Vertical Epic Ale,Stone Brewing
United States,California,American Double / Imperial Stout,AleSmith Speedway Stout - Kopi Luwak (Bourbon Barrel-Aged),AleSmith Brewing Company
United States,California,American Double / Imperial Stout,AleSmith Speedway Stout - Jamaica Blue Mountain Coffee,AleSmith Brewing Company
United States,Oregon,Witbier,Half-E-Weizen,Rogue Ales
United States,Colorado,American Wild Ale,Fat Tire And Friends Fat Sour Apple Ale,New Belgium Brewing
United States,Maine,Belgian Strong Pale Ale,Allagash Victoria Ale,Allagash Brewing Company
United States,New York,Maibock / Helles Bock,Dundee Pale Bock Lager,Genesee Brewing Co. / Dundee Brewing Co.
United States,Massachusetts,American IPA,Ipswich India Pale Ale (I.P.A.),Ipswich Ale Brewery
United States,California,American Pale Ale (APA),Alpine Ale,Alpine Beer Company
United States,Missouri,American IPA,Heavy Lifting India Pale Ale,Boulevard Brewing Co.
United States,Pennsylvania,Tripel,Stoudt's Triple (Belgian Abbey-Style Ale),Stoudts Brewing Co.
United States,Michigan,Saison / Farmhouse Ale,"Monkey King Saison, Farmhouse Ale",New Holland Brewing Company
United States,Oklahoma,Milk / Sweet Stout,Prairie Limo Tint,Prairie Artisan Ales
United States,Oklahoma,American Double / Imperial Stout,Christmas BOMB! (2015),Prairie Artisan Ales
United States,New York,American Brown Ale,He'Brew Messiah Nut Brown Ale,Shmaltz Brewing Company
United States,North Carolina,English India Pale Ale (IPA),Green Man India Pale Ale,Green Man Brewery
United States,Colorado,American Amber / Red Ale,Blue Moon Valencia Amber Ale,Coors Brewing Company
United States,Michigan,American Pale Wheat Ale,Dirty Blonde Ale,Atwater Brewery
United States,Washington,Scotch Ale / Wee Heavy,Pike Kilt Lifter Scotch Style Ale,The Pike Brewing Company
United States,Colorado,English India Pale Ale (IPA),Cold Hop British-Style Ale,Boulder Beer / Wilderness Pub
United States,New York,American Pale Ale (APA),Dundee Pale Ale,Genesee Brewing Co. / Dundee Brewing Co.
United States,Maine,Belgian Strong Pale Ale,Allagash Victor Ale,Allagash Brewing Company
United States,Texas,English Brown Ale,Brewhouse Brown Ale,Real Ale Brewing Company
United States,Maine,Rye Beer,LUX Rye Ale,Bissell Brothers Brewing Co.
United States,Florida,Baltic Porter,Kalevipoeg At The Gates Of Hell,Cigar City Brewing
United States,Colorado,American Wild Ale,Fat Tire And Friends Fat Wild Ale,New Belgium Brewing
United States,Iowa,Witbier,John's Generations White Ale,Millstream Brewing Company
United States,New Mexico,English Brown Ale,Nut Brown Ale,Santa Fe Brewing Company
United States,Oregon,Herbed / Spiced Beer,John John Juniper,Rogue Ales
United States,California,American Brown Ale,Stone Spotlight: Imperial Mutt Brown Ale,Stone Brewing
United States,Colorado,American Wild Ale,Odell DeConstruction Golden Ale,Odell Brewing Company
United States,Vermont,American Pale Ale (APA),Pale Ale,Long Trail Brewing Co.
United States,Ohio,American Amber / Red Ale,Firefly Amber Ale,Jackie O's Pub & Brewery
United States,Arizona,English Pale Ale,8th Street Pale Ale,Four Peaks Brewing Company - 8th Street Brewery
United States,Texas,Dortmunder / Export Lager,Shiner Dortmunder (Spring Ale),Spoetzl Brewery / Shiner
United States,Oregon,American IPA,India Pelican Ale,Pelican Pub & Brewery
United States,Maine,Kölsch,Geary's Summer Ale,D.L. Geary Brewing Company
United States,Pennsylvania,Wheatwine,Fourteen Ale,Weyerbacher Brewing Co.
United States,California,American Double / Imperial IPA,Winter Ale (2012) / 5th Anniversary Ale,Kern River Brewing Company
United States,North Carolina,American Pale Ale (APA),Highland Little Hump Spring Ale,Highland Brewing
United States,Wisconsin,Winter Warmer,St. Benedict's Winter Ale,Stevens Point Brewery
United States,Colorado,Tripel,Avery Anniversary Ale - Nineteen,Avery Brewing Company
United States,Massachusetts,Witbier,Samuel Adams Nitro White Ale,Boston Beer Company (Samuel Adams)
United States,Massachusetts,Black & Tan,"""Shabadoo"" Black & Tan Ale",Berkshire Brewing Company Inc.
United States,California,American Pale Ale (APA),Hop Oddysey: Cedar Plank Pale Ale,Green Flash Brewing Co.
United States,Alabama,American Pale Ale (APA),Naked Pig Pale Ale,Back Forty Beer Co.
United States,Massachusetts,American Barleywine,LongShot Mile High Barley Wine Ale,Boston Beer Company (Samuel Adams)
United States,Michigan,English Brown Ale,Arcadia Nut Brown Ale,Arcadia Brewing Company
United States,Connecticut,American Amber / Red Ale,Old Yankee Ale,Cottrell Brewing Co.
United States,Colorado,Belgian Pale Ale,Fat Tire And Friends Fat Pale Ale,New Belgium Brewing
United States,Maine,English India Pale Ale (IPA),Sea Dog Old East India Pale Ale,Sea Dog Brewing Company
United States,Alaska,Russian Imperial Stout,Alaskan Perseverance Ale (Pilot Series),Alaskan Brewing Co.
United States,California,American Strong Ale,Fat Weasel Ale,Steinhaus Brewing Co.
United States,Massachusetts,Old Ale,LongShot Old Ben Ale,Boston Beer Company (Samuel Adams)
United States,Alabama,English Brown Ale,Truck Stop Honey Brown Ale,Back Forty Beer Co.
United States,Alaska,American Amber / Red Ale,Alaskan Imperial Red Ale (Pilot Series),Alaskan Brewing Co.
United States,New York,American Double / Imperial IPA,Kelso Industrial Pale Ale,Greenpoint Beerworks / Kelso of Brooklyn
United States,California,American IPA,2009 Correction Ale,Lagunitas Brewing Company
United States,California,Belgian Strong Dark Ale,Trader Joe's 2013 Vintage Ale,Trader Joe's Brewing Company
United States,Virginia,American IPA,Drake Tail India Pale Ale,AleWerks Brewing Company
United States,California,Belgian Pale Ale,AleSmith Lil' Devil,AleSmith Brewing Company
United States,Michigan,Scotch Ale / Wee Heavy,Bourbon Barrel Scotty Karate Scotch Ale,Dark Horse Brewing Company
United States,Vermont,Herbed / Spiced Beer,Maple Nipple Ale,Lawson's Finest Liquids
United States,New York,American Pale Ale (APA),Pale Ale,Ithaca Beer Company
United States,Florida,Cream Ale,Caramel Cream  Ale,Due South Brewing Co.
United States,California,American IPA,Jamaica Sunset India Pale Ale,Mad River Brewing Company
United States,Wisconsin,American IPA,Velveteen Habit,Ale Asylum
United States,New York,American Pale Wheat Ale,Raspberry Wheat Ale,Southern Tier Brewing Company
United States,Florida,American Brown Ale,Improv (Improvisación) Oatmeal Rye India-Style Brown Ale,Cigar City Brewing
United States,Oregon,English Bitter,Younger's Special Bitter,Rogue Ales
United States,Colorado,Saison / Farmhouse Ale,Blue Moon Farmhouse Red Ale,Coors Brewing Company
United States,New Jersey,Belgian Dark Ale,River Horse Belgian Freeze Belgian Style Winter Ale,River Horse Brewing Co.
United States,Washington,American Pale Ale (APA),Manny's Pale Ale,Georgetown Brewing Company
United States,Ohio,American Pale Ale (APA),Four C's American Pale Ale,The Brew Kettle Taproom & Smokehouse / Production Works
United States,Maine,English Brown Ale,Bar Harbor Real Ale,Atlantic Brewing Company / Mainely Meat BBQ
United States,New York,American Wild Ale,Rainbow Dome,Grimm Artisanal Ales
United States,Wisconsin,American Brown Ale,Madtown Nutbrown,Ale Asylum
United States,Pennsylvania,Smoked Beer,Fireside Ale,Weyerbacher Brewing Co.
United States,Wisconsin,Scotch Ale / Wee Heavy,Lake Louie Warped Speed Scotch Ale,Lake Louie Brewery Company
United States,Massachusetts,Pumpkin Ale,Great Pumpkin Ale,Cambridge Brewing Company
United States,New York,Cream Ale,C.R.E.A.M. Cream Ale With Coffee,Sixpoint Brewery
United States,Oregon,Chile Beer,Sriracha Hot Stout,Rogue Ales
United States,Texas,American Porter,Shade Grown Coffee Porter,Real Ale Brewing Company
United States,Missouri,American Amber / Red Ale,Amber Ale,Boulevard Brewing Co.
United States,Delaware,English Barleywine,Dominion Millennium Ale,Old Dominion Brewing Company
United States,California,Cream Ale,Lagunitas Sirius Ale,Lagunitas Brewing Company
United States,Maryland,American Pale Ale (APA),Tuppers' Hop Pocket Ale,Tuppers' Hop Pocket Brewing Company
United States,Missouri,American Double / Imperial Stout,Coffee Abraxas,Perennial Artisan Ales
United States,Massachusetts,American IPA,Scaled,Trillium Brewing Company
United States,Maryland,Herbed / Spiced Beer,Of Love & Regret (Import Series Vol. 1),Stillwater Artisanal Ales
United States,California,American Strong Ale,Stone 9th Anniversary Ale,Stone Brewing
United States,Oklahoma,American Double / Imperial IPA,Phantasmagoria,Prairie Artisan Ales
United States,California,American IPA,Big Whig,Noble Ale Works
United States,Wisconsin,Herbed / Spiced Beer,Thumbprint Spiced Ale,New Glarus Brewing Company
United States,Oregon,Berliner Weissbier,Passionfruit Sour Ale,Breakside Brewery
United States,Connecticut,American Black Ale,Route Of All Evil Black Ale,Two Roads Brewing Company
United States,Montana,Scotch Ale / Wee Heavy,Cold Smoke Scotch Ale,KettleHouse Brewing Co. (Southside Taproom)
United States,Colorado,American Black Ale,Fade To Black (Volume 5 - Black Rye Ale),Left Hand Brewing Company
United States,Massachusetts,American Pale Ale (APA),Berkshire Ale Traditional Pale Ale,Berkshire Brewing Company Inc.
United States,Wisconsin,American Strong Ale,Boatswain H.L.V. Ale (Heavy Lift Vessel),Minhas Craft Brewery
United States,California,Milk / Sweet Stout,Naughty Sauce,Noble Ale Works
United States,Montana,Scotch Ale / Wee Heavy,Heavy Horse Scotch Ale,Big Sky Brewing Company
United States,New Mexico,American Pale Ale (APA),Pale Ale,Santa Fe Brewing Company
United States,Delaware,Altbier,Copperhead Ale,Fordham Brewing Company
United States,California,Rye Beer,Scarlett Red Rye,Speakeasy Ales & Lagers
United States,Delaware,English Pale Ale,Firefly Ale,Dogfish Head Craft Brewery
United States,California,American Pale Ale (APA),Hop Oddysey: Citra Session Ale,Green Flash Brewing Co.
United States,Maine,American Pale Ale (APA),Peak Organic Simcoe Spring Ale,Peak Organic Brewing Company
United States,Maine,English Barleywine,Shipyard Barley Wine Style Ale (Pugsley's Signature Series),Shipyard Brewing Co.
United States,Pennsylvania,Belgian Strong Dark Ale,20th Anniversary Ale,Weyerbacher Brewing Co.
United States,North Carolina,American Pale Ale (APA),Peacemaker Pale Ale,Lonerider Brewing Company
United States,Massachusetts,Fruit / Vegetable Beer,Harpoon Grateful Harvest Cranberry Ale,Harpoon Brewery & Beer Hall
