country,state,style,name,brewery
United States,New York,American Pale Ale (APA),Phin & Matt's Extraordinary Ale,Southern Tier Brewing Company
United States,Florida,American Pale Ale (APA),Invasion Pale Ale,Cigar City Brewing
United States,Ohio,Irish Red Ale,Great Lakes Conway's Irish Ale,Great Lakes Brewing Co.
United States,Illinois,Bière de Garde,Domaine DuPage French Style Country Ale,Two Brothers Brewing Company
United States,Oregon,American Blonde Ale,Twilight Summer Ale,Deschutes Brewery
United States,New Hampshire,English Pale Ale,Smuttynose Shoals Pale Ale,Smuttynose Brewing Company
United States,Colorado,Scotch Ale / Wee Heavy,Claymore Scotch Ale,Great Divide Brewing Company
United States,Utah,American Double / Imperial IPA,Detour Double India Pale Ale,Uinta Brewing Company
United States,North Carolina,American Amber / Red Ale,Highland Gaelic Ale,Highland Brewing
United States,Oregon,American Amber / Red Ale,American Amber Ale,Rogue Ales
United States,Minnesota,Saison / Farmhouse Ale,CynicAle,Surly Brewing Company
United States,South Carolina,American IPA,India Pale Ale,Westbrook Brewing Co.
United States,Florida,American Amber / Red Ale,Tocobaga Red Ale,Cigar City Brewing
United States,Florida,Witbier,Florida Cracker Belgian-style White Ale,Cigar City Brewing
United States,Colorado,English Barleywine,Samael's Ale,Avery Brewing Company
United States,California,American Pale Ale (APA),Chico King: Pale Ale (Beer Camp Across America),Sierra Nevada Brewing Co.
United States,California,American IPA,Estate Homegrown Wet Hop Ale,Sierra Nevada Brewing Co.
United States,California,American Barleywine,AleSmith Old Numbskull,AleSmith Brewing Company
United States,Oregon,Chile Beer,Chipotle Ale,Rogue Ales
United States,California,American Strong Ale,Firestone 17 - Anniversary Ale,Firestone Walker Brewing Co.
United States,Michigan,Saison / Farmhouse Ale,Bam Bière,Jolly Pumpkin Artisan Ales
United States,Pennsylvania,American IPA,Tröegs Hop Knife Harvest Ale,Tröegs Brewing Company
United States,New York,English Pale Ale,Saranac Pale Ale,Matt Brewing Company / Saranac Brewery
United States,Vermont,Altbier,Long Trail Ale,Long Trail Brewing Co.
United States,Colorado,American Amber / Red Ale,Avalanche Ale,Breckenridge Brewery
United States,Maryland,English Barleywine,Horn Dog Barley Wine Style Ale,Flying Dog Brewery
United States,California,Belgian Pale Ale,Myron's Walk: Belgian-Style Pale Ale (Beer Camp Across America),Sierra Nevada Brewing Co.
United States,Colorado,Herbed / Spiced Beer,Good Juju (Ginger Ale),Left Hand Brewing Company
United States,Pennsylvania,American Double / Imperial IPA,Stoudt's Double IPA (India Pale Ale),Stoudts Brewing Co.
